mean,std,source layer,source
0.0096,0.010430723848324238,0,P02671
0.0128,0.009121403400793104,0,P02675
0.0176,0.022199099080818574,0,P06396
0.0288,0.01073312629199899,0,P02649
0.0608,0.021614809737770073,0,P05109
0.0736,0.030146309890266836,0,P25311
0.0736,0.04976745924798653,0,P07996
0.0752,0.040239284287869735,0,P00740
0.088,0.039191835884530846,0,P23083
0.104,0.06196773353931867,0,P07998
0.112,0.0590592922409336,0,P01023
0.112,0.08890444308357148,0,P00734
0.1264,0.05582830823157729,0,P01024
0.13119999999999998,0.0793170851708508,0,P04004
0.1376,0.05072277594927155,0,A0A0C4DH25
0.1456,0.06076841284746541,0,P01709
0.1728,0.08719633019800775,0,P08571
0.1776,0.08679170467273932,0,P04430
0.1904,0.11148452807452701,0,P00450
0.1904,0.15983991991989988,0,P02776
0.224,0.08313843876330611,0,P02775
0.22719999999999999,0.10592072507304696,0,P06312
0.22719999999999999,0.1461615544525988,0,P04211
0.22719999999999999,0.2471987054982287,0,P48740
0.2352,0.08031936254727125,0,P00488
0.24159999999999998,0.12045248025673859,0,P01834
0.2672,0.22354238971613416,0,Q15848
0.26880000000000004,0.06987989696615186,0,P00748
0.2768,0.17741251365109512,0,P69905
0.31360000000000005,0.09755408756172138,0,P80748
