input,translation
A0A075B6P5,R-HSA-8980692
A0A075B6P5,R-HSA-191859
A0A075B6P5,R-HSA-2559582
A0A075B6P5,R-HSA-72163
A0A075B6P5,R-HSA-425561
A0A075B6P5,R-HSA-1059683
A0A075B6P5,R-HSA-1234176
A0A075B6P5,R-HSA-8963889
A0A075B6P5,R-HSA-983170
A0A075B6P5,R-HSA-2029482
A0A075B6P5,R-HSA-9687136
A0A075B6P5,R-HSA-9009391
A0A075B6P5,R-HSA-174084
A0A075B6P5,R-HSA-3214858
A0A075B6P5,R-HSA-6791226
A0A075B6P5,R-HSA-3000480
A0A075B6P5,R-HSA-6798695
A0A075B6P5,R-HSA-381340
A0A075B6P5,R-HSA-8865999
A0A075B6P5,R-HSA-2029482
A0A075B6P5,R-HSA-5689603
A0A075B6P5,R-HSA-9645460
A0A075B6P5,R-HSA-9013404
A0A075B6P5,R-HSA-3928665
A0A075B6P5,R-HSA-5656364
A0A075B6P5,R-HSA-192823
A0A075B6S6,R-HSA-9674555
A0A075B6S6,R-HSA-9615017
A0A075B6S6,R-HSA-432722
A0A075B6S6,R-HSA-445989
A0A075B6S6,R-HSA-9013409
A0A075B6S6,R-HSA-9694548
A0A075B6S6,R-HSA-156827
A0A075B6S6,R-HSA-2022870
A0A075B6S6,R-HSA-373080
A0A075B6S6,R-HSA-8941855
A0A075B6S6,R-HSA-75876
A0A075B6S6,R-HSA-3928664
A0A075B6S6,R-HSA-4551638
A0A075B6S6,R-HSA-9609736
A0A075B6S6,R-HSA-6798695
A0A075B6S6,R-HSA-1834949
A0A075B6S6,R-HSA-166663
A0A075B6S6,R-HSA-1362277
A0A075B6S6,R-HSA-2559586
A0A075B6S6,R-HSA-1257604
A0A075B6S6,R-HSA-380284
A0A075B6S6,R-HSA-983170
A0A075B6S6,R-HSA-450604
A0A075B6S6,R-HSA-5661231
A0A075B6S6,R-HSA-1482925
A0A075B6S6,R-HSA-110312
A0A096LP49,R-HSA-1250342
A0A0A6YYK7,R-HSA-176409
